Symbol
PPEF1
SVOP
NEUROD6
ZDHHC23
SST
SGIP1
EPCIP
SRGAP1
HSPB2
P2RX7
SCN11A
ZNF454
PCYOX1L
OLAH
SHROOM1
FRMPD2
TCF3
GRP
MAPKAPK2
CRH
TRIP10
TMEM130
MCM7
NAP1L5
TARBP1
GPRASP2
ZNF136
OPA1
ARHGEF9
CRB2
KANK2
FBXL2
EXOC6
GNG3
SCG2
NFKBIA
PRMT8
ABCC12
CCKBR
CORT
UBLCP1
ANKLE1
PIAS4
SNX10
ARAP1
TUBB3
S100A4
ADCYAP1
NDE1
HSD17B7
RFX1
SLC4A2
CFAP263
NRN1
HOMER3
PGM2L1
ARPP21
TNXB
FOXO4
CLDN15
FAM181B
VGF
GAP43
REEP1
VIP
CYP4X1
MLIP
CDH9
TRIM58
FANCC
BMP1
TMEM200A
ZBBX
SUB1
CYP2C8
ATP6V1C1
EMP3
RBM38
DDIT4L
LRRC1
TRUB1
ITGB5
PRKX
ICA1
SRD5A1
CEP83
GRM8
H2BC5
NRSN1
NSG2
NCALD
SLC16A9
BANP
ITPKB
DOP1A
SEMA3E
SERTM1
MAFF
PPP1R14C
BDNF
IL13RA2
OCA2
AP1S3
SMTN
SERPINI1
SLC43A3
TYRP1
NIBAN2
SCOC
SLN
SORBS3
PCOLCE
SLC6A12
PPP1R2
BCL6
PFN2
KIAA0408
PTPRN2
STAT4
DYNC2LI1
OXCT1
STXBP5
LRRC2
SYP
SASH1
MOB3C
CD200
KCNQ3
TMEM17
KIF19
RGS4
DPP10
NFATC1
TTC38
NELL1
CIRBP
PTPN3
DDIT4
NSF
ACSL4
CFD
DCLK1
MXD4
KCNAB1
PNMA2
NME5
FOXJ1
CRYM
SLCO4A1
NECAP1
DGKB
TEAD2
SNCA
SLC5A3
FGFRL1
SERPINA5
R3HDM1
ZNF215
AKR1C2
CNR1
STAT5A
CALM3
RAB3C
ARL4D
INSM2
RBFOX2
PXN
HPRT1
MIGA1
STXBP1
PAK1
TFEB
ATP6V1B2
CAPS
PCDH8
TOMM20
SORCS3
ADAM23
PNMA8A
RTN1
EGR4
COL24A1
RPH3A
NMU
EFCAB6
BOC
PPM1E
SHANK2
NXPH1
ZMYND10
AEBP1
MCHR1
EGR1
MLLT11
NUDT11
ACOT4
DAPP1
NELL2
PPP4R4
CYRIA
FAM89A
ADORA2A
CPM
CCNA1
LLGL2
PCSK1
KRT222
PTAFR
SC5D
TSPYL5
MYOT
ZNF334
ATOH8
PCSK2
CNTNAP2
