"Sample_ID","Group","Activated B cell","Immature B cell","Memory B cell","Activated CD4 T cell","Activated CD8 T cell","Eosinophil","Macrophage","Mast cell","MDSC","Monocyte","Natural killer cell","Neutrophil","Plasmacytoid dendritic cell","T follicular helper cell","Type 1 T helper cell","Type 17 T helper cell","Type 2 T helper cell","Activated dendritic cell","Regulatory T cell","NK T cell","Immature dendritic cell","Macrophage M1"
"C_0002","Control",-0.304417300985848,-0.126016057889983,0.0545665617882491,-0.238319523043454,-0.392193950876447,-0.348078171964784,-0.157418313800632,-0.549637366569979,-0.168971853292211,-0.166904548081546,0.0231302627482302,-0.497561472521579,0.151173902800228,0.103532248519006,-0.523142658281673,-0.420768628389869,-0.540845362521834,-0.21254636967729,-0.309503081930716,-0.506085881581719,-0.103868262436198,-0.227973064382821
"C_0003","Control",-0.140433286399163,-0.0630168335819498,0.0446858389019085,0.00797201715174028,-0.430026749657737,-0.310781514866092,-0.1528036405107,-0.487203156697711,-0.0881379435586843,-0.105378134827284,0.0288199834950157,-0.41621790532061,-0.0119320030382485,0.168754124773915,-0.526310446698907,-0.426519546712394,-0.51737428383035,-0.273805664221268,-0.137274825309907,-0.465124523411915,0.101826798789536,-0.258256006558642
"C_0004","Control",-0.353544748084322,-0.161753195901846,0.0411197945772031,-0.188809616310544,-0.388168681604733,-0.328192350050458,-0.143458765949974,-0.568145019669764,-0.188304077145315,-0.112196794651654,0.0212960822252468,-0.4344296629825,0.201224959792527,0.181922718188693,-0.561015328692161,-0.426886128817637,-0.543655296998429,-0.12151728343666,-0.31146931436685,-0.495783446367757,0.0278413404225797,-0.219458941921635
"C_0005","Control",-0.294586438287797,-0.0362624230879461,0.00684151876941448,-0.160493029529771,-0.450549723237165,-0.23346912784018,0.0461552645716267,-0.552185979411721,-0.117302636345519,0.0535905094777214,0.0225000005466743,-0.315584135627965,0.164337823556289,0.166407639925516,-0.569673950365934,-0.403245187577804,-0.559608789624067,-0.151364479275629,-0.344100050620683,-0.534127313345537,-0.0645876860624955,-0.241726116540979
"C_0006","Control",-0.197900862874474,-0.234489299007693,0.0165159787704524,-0.180756563670453,-0.417686977647961,-0.406054601431808,-0.26841946665411,-0.553870372380218,-0.242087530924054,-0.205147269960516,0.0289826992272088,-0.427913918796588,0.101756403491376,0.0857678303833317,-0.577065456672814,-0.4613613324217,-0.567474181521168,-0.169231170543327,-0.250060562080011,-0.514402290473386,-0.123860527113854,-0.201848665207568
"C_0008","Control",-0.301808375663571,-0.0218242373217995,0.0117478551753278,-0.190122815845712,-0.42313523211865,-0.278461308173025,-0.023933377223415,-0.589278516894924,-0.10283451701174,-0.0738420033397244,0.0227497538508013,-0.395212668329633,0.213192160479856,0.169243819125367,-0.536517764932217,-0.394874604936189,-0.536630486309012,-0.210677320862931,-0.269117032185657,-0.47592989123707,-0.207701327223316,-0.137768399568059
"C_0009","Control",-0.143510059154538,-0.169591796246639,-0.0442736529177359,0.110921015326852,-0.457155393644758,-0.235657583951445,-0.15919625041271,-0.52817313689438,-0.124901688099343,-0.0990621873494102,0.0282928996689213,-0.42784209577444,-0.174756327684082,0.0571198402895827,-0.500897744062873,-0.450434527696972,-0.473639109009742,-0.228845279450183,-0.13114410710301,-0.406502733720778,0.39474163443645,-0.244544632234139
"C_0010","Control",-0.237909018799841,-0.216027708167133,0.0460583868078826,-0.25554701548837,-0.371537832975531,-0.408280940742289,-0.266030867224602,-0.585089750183826,-0.247225962737648,-0.153827367093082,0.0242049210656777,-0.476098200322971,0.187005109564054,0.127783906801957,-0.489775286953474,-0.443906310103213,-0.541170966927307,-0.186853524972731,-0.288991239356122,-0.493727157956071,-0.193974244081969,-0.218521031572189
"C_0011","Control",-0.229929019045917,-0.159410526084724,0.0189299453624994,-0.159489604165071,-0.398136499810853,-0.333816146494454,-0.157070775615804,-0.497478264498554,-0.194651915243569,-0.180672327694085,0.027123800156998,-0.485257367046172,0.170110238005472,0.0705466204333015,-0.529689421010624,-0.458852427194971,-0.548806976608834,-0.216959046331551,-0.252484050787636,-0.49483783409831,-0.0120023983364092,-0.157918590404571
"C_0012","Control",-0.157008011900696,-0.241382569453754,-0.0327746760373631,-0.110126409567476,-0.424406507091533,-0.366079780467962,-0.272513337963406,-0.575705779081539,-0.263766300613799,-0.271461262122963,0.0342377812154199,-0.501542188045909,0.0181267892763952,0.0275174512576515,-0.501108929957356,-0.435069693196774,-0.528226416668111,-0.241926841679062,-0.251868705972481,-0.496399389295508,0.0360071950092278,-0.246049135179398
"C_0013","Control",-0.278481336346896,-0.0337946620004609,0.0115073453392828,-0.107433954148509,-0.429312728631632,-0.219179869832534,0.0672634389928168,-0.556245101022015,-0.105107871652689,0.0852373767778215,0.025101904197778,-0.343845348769809,0.142585676424615,0.179051123399384,-0.533913138900269,-0.435799043116288,-0.544065965940299,-0.179304297213791,-0.315862474271285,-0.472224629977496,-0.198831519655061,-0.217484479862057
"C_0014","Control",-0.276106387988503,-0.0820622444652227,0.05279221369704,-0.204317786262177,-0.420812369955513,-0.331218699746127,-0.109404357432485,-0.574731922250039,-0.143858970990586,-0.042747096611747,0.0269621736268015,-0.426596377222265,0.137165238466237,0.159036277154061,-0.574601621237187,-0.44876658878657,-0.538564887588588,-0.185445444300855,-0.302040900866481,-0.492957851503989,-0.0482559768891996,-0.189279793442593
"C_0015","Control",-0.439081685431707,-0.338787720748349,0.0451597775488354,-0.279406006233008,-0.38629326221251,-0.460283471443302,-0.34141999900608,-0.584252069383639,-0.353424142200321,-0.327983164205798,0.0215812763840956,-0.51929504132698,0.0828904635842925,0.0167631804950553,-0.488156195095776,-0.416492109456146,-0.545417618691865,-0.224500306778431,-0.338992352881826,-0.521190027866844,-0.241139093849677,-0.200525226270188
"C_0016","Control",-0.350247022295783,-0.156619040564651,0.0119327456224431,-0.174209843239306,-0.389539289677569,-0.395697564580493,-0.198066455702166,-0.471305321295326,-0.195940133002402,-0.20048508313439,0.0224304923479605,-0.461522659773315,0.180669532729585,0.0125716709156229,-0.520186055758921,-0.425325887782552,-0.525830086351925,-0.184534974495578,-0.331767234501821,-0.510188174923869,-0.202914446948385,-0.233190664638506
"C_0017","Control",-0.182030435817417,-0.119726596031391,-0.0114906436339482,-0.100917639775132,-0.433224250290333,-0.351202060904746,-0.165860915116551,-0.590862504306684,-0.206458227452674,-0.207296851277324,0.0287697938216549,-0.464812642215846,0.108866328605612,0.0722193311499421,-0.580937198071655,-0.415105065639606,-0.541429621058958,-0.231696338438609,-0.225965557097735,-0.513745305879753,-0.0248847378998279,-0.193102468761
"C_0018","Control",-0.424085640524896,-0.313910512011647,-0.09110774442905,-0.270861020808072,-0.378466569002128,0.0684344661262946,-0.220429609912041,-0.566865241583649,-0.238272577442307,-0.193984779646122,0.0296224259525265,-0.516809633228373,-0.287740781232098,0.182410340699914,-0.440568973539104,-0.127821067335963,-0.488731792782704,-0.13261160541161,-0.23059117415631,-0.509973547146148,-0.126535548443962,-0.307573638234298
"C_0019","Control",-0.294903243582915,0.115056435710901,0.036604189470723,-0.187437611465229,-0.4265684400799,-0.209339457336167,0.106552970221953,-0.5849434471613,-0.0141357981046986,0.135826009537544,0.0199005605657019,-0.287771102905882,0.393333728473235,0.248282874673242,-0.557425168485962,-0.440940881258362,-0.534820725565831,-0.190470507423109,-0.31624679179052,-0.491017172463536,-0.147020580208743,-0.176074644041779
"C_0020","Control",-0.378851971552709,-0.295596650190029,0.0306255328647318,-0.276591816794694,-0.377279067030641,-0.39699377469928,-0.300761018032141,-0.575589045110502,-0.296773095944892,-0.294491352884702,0.0243621347002819,-0.513205052985612,0.0875365532629026,0.0468458048334934,-0.514343246011578,-0.414790710491448,-0.531135013448157,-0.166730805025354,-0.363579655556653,-0.511975740336958,-0.13280072998027,-0.258223222693109
"C_0021","Control",-0.183130913204788,-0.246064403155117,-0.0034687176239699,-0.164124146672192,-0.424801017242955,-0.426439283222985,-0.326123689656002,-0.574581375832143,-0.298588644991177,-0.292438821249334,0.0257504327229052,-0.492403126307657,0.0335433595736011,0.00586662137938859,-0.574812807131669,-0.412912294182212,-0.549182487544759,-0.209749714137653,-0.303777921344616,-0.501251331707376,-0.111048582848596,-0.216774105194128
"C_0022","Control",-0.348607712717349,-0.249351113055549,0.0326342342192165,-0.242192649033013,-0.363513754262274,-0.393424575884427,-0.268823494810552,-0.496899734642879,-0.252461550961351,-0.211661426453927,0.0213537220542987,-0.498082513438563,0.157368689038374,0.0176527893347684,-0.498997071012533,-0.447698020469649,-0.513947500176885,-0.160161970039097,-0.365400288048356,-0.52466122345209,0.0353032420276201,-0.201125267364576
"C_0023","Control",-0.214325060926075,-0.209677443579645,0.0626335760313942,-0.167416253670794,-0.378820282090475,-0.317831863640253,-0.300482389463162,-0.529455503996873,-0.246757973576463,-0.317277625366937,0.0302914229527165,-0.521215131600308,0.0191123234506458,0.0672855298343119,-0.558621888554695,-0.443528535379949,-0.531085131174725,-0.250149409394752,-0.32816711760455,-0.464460308848249,0.0146070243683573,-0.254556746904336
"C_0024","Control",-0.362039005527116,-0.205697133382202,0.055646444967245,-0.246416834408204,-0.384352838638662,-0.388932663962452,-0.252015788523246,-0.52669341427028,-0.259965057278677,-0.250889561074268,0.0243956143618205,-0.483289978583965,0.117454554981225,0.0522490814657074,-0.533701953005787,-0.434091744930142,-0.52041380690829,-0.194300411574888,-0.319804968314257,-0.516133954122252,-0.115905858421688,-0.194411123692381
"C_0025","Control",-0.218986798977724,-0.287267508039442,-0.0021119747523523,-0.158277971617919,-0.3710196409799,-0.398860957819616,-0.27315129330336,-0.559715588532503,-0.298060231479709,-0.281226592652687,0.0276182408770959,-0.503715592282254,0.0321354536103861,-0.0312676282735167,-0.502164859429767,-0.40976861056859,-0.543119592066362,-0.180776256279533,-0.311608509750653,-0.490105338751093,0.0515645559027552,-0.268629207207266
"C_0026","Control",-0.260355455374722,-0.175127728232562,0.0139510071758265,-0.19496044641478,-0.399420351068846,-0.366549122297886,-0.232612116436162,-0.512957625063634,-0.235176865485619,-0.17966733183917,0.0224182267495293,-0.459213550793401,0.14955481094253,0.0991195906619331,-0.529548630414302,-0.427337210468291,-0.520901839013059,-0.185847903945788,-0.304537646830951,-0.458795199532073,-0.139065911516577,-0.254888582171678
"C_0029","Control",-0.250115464881455,-0.00462555479929275,0.0055607889035727,-0.10089854334519,-0.414267537643281,-0.215958873861431,0.0710925529994108,-0.508341311302328,-0.0626709501418617,0.187704300305876,0.0322138392047148,-0.245652078950909,0.190102502683127,0.16946215219007,-0.568266044402719,-0.47134143010974,-0.536211285087277,-0.232772870643233,-0.255321548851403,-0.427138954138178,0.173770793509831,-0.213625895509715
"C_0031","Control",-0.254220741452663,-0.308791191439298,0.0287299812068418,-0.229011888490565,-0.343490163665731,-0.425303464122374,-0.387976611022276,-0.570165068793022,-0.304372452155804,-0.296334842063918,0.0456912423224331,-0.536877980322896,-0.0754989572774129,-0.0527625825334766,-0.532786814129697,-0.392311923076551,-0.529160968725284,-0.188218154986901,-0.318100772183132,-0.54760204810551,-0.203899981122635,-0.309381801627255
"C_0032","Control",-0.343454682619644,-0.290147099752673,0.00485633824832483,-0.212262639228545,-0.403809354222366,-0.435248066084137,-0.324361702159294,-0.574611293673626,-0.302280613790206,-0.345521324009829,0.0267960934400045,-0.530747049904233,0.0619830600305474,0.0100120907846044,-0.484002872504291,-0.414489647070086,-0.525739731021831,-0.165741377935879,-0.246242841668639,-0.503639321072297,-0.211854649814801,-0.248224039985955
"C_0035","Control",-0.406037203788954,-0.363801361944207,0.0167282937702909,-0.253404934192205,-0.3472306255788,-0.428870519462502,-0.337293336924819,-0.510161702901158,-0.292110625654312,-0.291668727704999,0.0590069795044822,-0.514541042129619,0.0995037539502314,0.0144227107493293,-0.560944933394,-0.407904415988702,-0.530428362058182,-0.144479890541519,-0.355546672372599,-0.508280053759169,-0.140755398672436,-0.274627973288544
