gene
ABCA2
ABCB9
ACP2
ACP5
AGA
AP1B1
AP1G1
AP1M1
AP1M2
AP1S1
AP1S2
AP1S3
AP3B1
AP3B2
AP3D1
AP3M1
AP3M2
AP3S1
AP3S2
AP4B1
AP4E1
AP4M1
AP4S1
ARSA
ARSB
ARSG
ASAH1
ATP6AP1
ATP6V0A1
ATP6V0A2
ATP6V0A4
ATP6V0B
ATP6V0C
ATP6V0D1
ATP6V0D2
ATP6V1H
CD164
CD63
CD68
CLN3
CLN5
CLTA
CLTB
CLTC
CLTCL1
CTNS
CTSA
CTSB
CTSC
CTSD
CTSE
CTSF
CTSG
CTSH
CTSK
CTSL
CTSO
CTSS
CTSV
CTSW
CTSZ
DNASE2
DNASE2B
ENTPD4
FUCA1
GAA
GALC
GALNS
GBA1
GGA1
GGA2
GGA3
GLA
GLB1
GM2A
GNPTAB
GNPTG
GNS
GUSB
HEXA
HEXB
HGSNAT
HYAL1
IDS
IDUA
IGF2R
LAMP1
LAMP2
LAMP3
LAPTM4A
LAPTM4B
LAPTM5
LGMN
LIPA
M6PR
MAN2B1
MANBA
MCOLN1
MFSD8
NAGA
NAGLU
NAGPA
NAPSA
NEU1
NPC1
NPC2
PLA2G15
PPT1
PPT2
PSAP
PSAPL1
SCARB2
SGSH
SLC11A1
SLC11A2
SLC17A5
SMPD1
SORT1
SUMF1
TCIRG1
TPP1
ABCA2

ADRB2
ANKRD27
AP3M1
ARSB
AZU1
BCL10
CD63
CLN5
CORO1A
CTNS
CTSC
CTSF
CXCR2
CYLC1
DNASE2
GALC
GLA
HLA-DOB
HLA-DRA
HPS1
HPS4
HYAL2
IFI30
KCNE1
KCNE2
KNL1
LAMP2
LAMP3
LIPA
LRP2
MPO
MYO7A
NAGLU
NEU4
NPC2
PPT1
RAB14
RAB7A
RAB9A
RAMP2
RAMP3
SFTPD
SLC17A5
SPACA3
SRGN
STS
TIAL1
TOM1
TOM1L1
TPP1
TRIM23
TSPAN8
TYR
USE1
USP4
USP5
USP6
VAMP4
VPS45
TMEM175
SLC7A11
ATP13A2
C1orf85
C9orf91
CD63
CLCN6
CLCN7
CLCN7
CLN7
CLN8
DIRC2
SLC63A1
ITM2B
ITM2C
LAPTM4A
LAPTM4B
LAPTM5
LMBRD1
MFSD12
GLMP
MFSD6
NHE6
NHE9
NPC1
LAMP-3
MFSD6
SCARB2
SIDT2
hSpin 1
PACC1
SLC12A9
SLC15A1
SPNS1
SLC11A2
SLC17A5
SLC17A5
SLC17A9
SLC29A3
SLC2A1
SLC2A6
SLC12A4
SLC35F6
SLC15A3
SLC37A3
SLC38A7
SLC38A9
SLC46A3
SLC48A1
SLC49A4
SLC7A14
SLC7A2
SLC7A5
SLC7A5
SLC15A4
TM7SF1
TM9SF1
SLC26A11
TMEM104
TMEM106B
TMEM110
SLC2A8
SLC30A2
TMEM127
SLC30A3
TMEM163
TMEM166
TMEM176A
SLC30A4
SLC36A1
SLC39A8
SLC3A2
TMEM184c
TMEM192
SLC44A2
TMEM43
TMEM50B
SLC66A1
SLC7A11 
TMEM63a
TMEM63B
TM4SF5
TM9SF4
TPRA1
TMEM123
TMEM126b
TMEM150b
TTYH3
TMEM176b
TMEM179b
TMEM181
TMEM184b
TMEM55a
TMEM55b
SLC9A6
TMEM59
SLC3A2
SLC3A2
CTNS
SLC3A2
TMEM243
TMEM87a
TMEM9b
GPR137B
PQLC2
CLN3
Slo1
TMEM165
DMT1
SV31
VPS13D
VAPA
VAMP7
CETN3
IP3R-TKO
hPACC1
TTYH3
TMEM175
CLCN3
TMEM187
ABCA3
SLC2A13
SLC37A2
TMEM230
TSPAN3
GPR137c
TMEM185b
SLC45A1
ABCB4
TMEM222
LIMP2
SPX3
TM4SF8
P2X4
