"Sample_ID","Group","Lysosome_Subtype","PC1","PC2","PC3","PC4","PC5","SLC7A14","ACP5","SLC2A13","RAMP3","CLTC"
"GSM388217","AD","Cluster_1",-0.586927414824175,-0.971744387820873,0.662707498552516,0.575640441760213,0.419032797168454,5.14094149716214,3.40012479429582,5.72865378716586,4.5610271716557,5.67294029006307
"GSM388218","AD","Cluster_1",-0.631207457236257,-1.5718074051503,-0.28961100627234,0.551175904609721,0.272204908869721,6.11473538138573,3.51464032422101,6.67060355664828,5.67119909269091,6.10618090536646
"GSM388219","AD","Cluster_1",-0.864461834116103,-1.08799685348953,-0.809133192353428,-0.528069240694495,0.655767253504962,6.35232501747604,4.99042023396709,6.58570053073282,5.1659933305639,6.56582784276537
"GSM388220","AD","Cluster_1",-0.985879551737349,-1.48468662705667,0.845157077806704,-0.194891090636494,-0.378730849495082,5.98971388907161,3.80915666472659,5.65549374709735,4.59733995770255,4.10672497109997
"GSM388221","AD","Cluster_1",-2.46670288851449,-0.739408482300167,0.462435874917899,-0.167486437055225,-0.00754074583956247,4.80488205923323,5.11847103881823,6.02930190930665,6.17919430356138,3.9994222766431
"GSM388222","AD","Cluster_1",-1.68222176432226,-0.866098259129457,0.250551597185487,-0.900667502472362,0.000786909545555345,5.76586272299099,5.31483236288361,5.70368225849696,4.96208261378638,4.47539403317854
"GSM388223","AD","Cluster_2",0.0102118691731615,-0.374429976255205,1.07138521175736,-0.645906358219405,-0.326321480164281,5.87497893432362,4.01373785181649,3.27474229525272,2.94905389997798,5.03766611657584
"GSM388224","AD","Cluster_1",-2.3580166852336,-0.73363028381578,0.222910734361315,0.261853133610586,-0.63524310766529,5.10080134194546,4.66746946416028,5.2122398355997,7.15568809726949,3.95714059054459
"GSM388225","AD","Cluster_1",-0.628226104551679,-1.26783674665527,0.0831256986495634,0.56913702452446,-0.474875770108624,6.11074338580973,3.33313547993581,5.16108801658145,5.81606376264169,5.33969162947067
"GSM388226","AD","Cluster_1",-2.01787737684553,-1.35367913006256,-0.396797169829224,-0.606221514125278,-0.254139432181374,6.24739663801251,5.24128253747702,6.4906824489059,6.40574006685718,4.49124618737498
"GSM388228","AD","Cluster_1",-2.07500420353528,0.376695544778239,0.0391086544892009,-0.0189938077596212,-0.33433889139534,4.6438438626,5.32393610397568,3.71126627385379,6.60121206152164,4.98191543918956
"GSM388229","AD","Cluster_1",-1.81189668219226,0.161141231578563,0.531176867129931,-0.39663809502887,-0.623244235999568,4.98228668708833,5.16249808960735,3.37656567477441,5.69110345199035,4.2829062451974
"GSM388230","AD","Cluster_1",-1.20232929018986,-1.75931883520195,0.0873896263997017,-0.640097250417799,0.0348554212569181,6.48901510449614,4.54009397179495,6.86540634932828,4.89176716626444,4.67932101482988
"GSM388231","AD","Cluster_2",0.839703143748209,-0.414223907141793,0.96269803096979,-1.08666089852907,-0.269203844454761,6.56748001906325,3.95430689108205,2.85192159755769,1.81834013169624,5.62776075128716
"GSM388232","AD","Cluster_2",0.392273741393616,-1.30750126229681,1.17110774062401,-0.688728395292433,-0.145156153023418,6.50713606135472,3.45953710821739,4.68090999802361,2.31775663045588,4.92588732259738
"GSM388233","AD","Cluster_2",1.7541518580506,-1.3792675360531,1.12680530567997,-1.41886007481697,0.404787818258515,7.3317568056563,3.41005223880859,4.56317489004543,0,6.12006452572665
"GSM388234","AD","Cluster_2",0.958654383604584,-0.904005087024492,0.640584171937603,0.228723567702361,-0.745171376411171,6.67547291651877,2.63185174080811,3.07576076238604,3.5872901208579,5.85074936086998
"GSM388235","AD","Cluster_1",-0.473136244196533,-1.7541921351988,-0.0824104978360211,-0.228317084064175,0.138418564701827,6.6680146368366,3.88837836510697,6.57658009717993,4.67716121296597,5.58971379323438
"GSM388236","AD","Cluster_1",-0.899329721065145,-1.64119800427446,-0.0575024179175219,-0.306444895380444,0.230515420113936,6.36674148099074,4.24210866086081,6.79036086383636,4.92363158648561,5.34991625280921
"GSM388237","AD","Cluster_1",-0.76980044063192,-1.18709672456945,0.293522951453822,-0.539631961492423,0.647491162653802,5.85198312432694,4.50583279019704,6.46052216103531,3.92896318796038,5.58055013431048
"GSM388238","AD","Cluster_1",-1.49763537874619,-1.10895985959023,-0.494996036448263,-0.73138568673321,-0.288320832130115,6.4906824489059,5.18680963089229,5.73468257267445,5.91512222639792,5.00858297103979
"GSM388239","AD","Cluster_1",-1.54226064151694,0.479626672389149,0.935450089717734,-0.083347942543875,-0.363816091480945,4.38860520808379,4.79520339383137,2.99260006360844,5.12248429064769,4.56573364342297
"GSM388240","AD","Cluster_1",-0.416775256286007,-1.87143225140555,1.54540425602332,0.267880921502088,0.102626138100242,5.61468180966532,2.80587623744808,6.41073259538193,3.42223468589159,4.2388605999131
"GSM388241","AD","Cluster_1",-1.31439091885908,-1.3700407948114,0.916743722927013,0.0173405302651203,-0.0979387485838428,5.45616358772895,3.89445234701059,6.06126768579412,4.83956961305698,4.13922634613422
