"Sample_ID","Group","CLTC","SLC2A13","SLC7A14","ACP5","RAMP3"
"C_0002","Control",13.2554641460138,10.816023639828,6.38944532016134,3.75077691714168,7.57634073149812
"C_0003","Control",12.7008044640595,8.77204036156766,7.67412233900465,6.21091637416425,8.32509628850311
"C_0004","Control",13.8020265653746,11.1724906407993,7.23041439021672,4.07989348063795,7.85617712091029
"C_0005","Control",14.2129477267515,10.8070207770912,8.08953522620154,4.4487734546037,7.93724492092499
"C_0006","Control",13.7677768547931,11.196725060786,8.25688988553589,4.61757824826516,7.77568204338289
"C_0008","Control",13.6422897901863,10.9097408579153,7.93222715584377,3.45302008960048,8.13309031041656
"C_0009","Control",12.8816577373843,6.19371498050793,9.53215738276266,5.11307576830294,8.17264602163993
"C_0010","Control",13.1850214331728,10.7188308025006,6.43015277449186,3.38822136703938,7.54183926687884
"C_0011","Control",13.7335121691229,10.5164082010565,8.38441121259832,4.000664388398,7.22952351527436
"C_0012","Control",13.7832274498504,10.5757821966427,9.28587171195258,5.37673316885222,7.76465865313358
"C_0013","Control",13.7868944423324,10.7727995150991,8.30044362686339,4.53323939067851,7.94452993766307
"C_0014","Control",13.5678859823035,10.9749372211163,7.4089988092587,4.45651114180571,7.83851818757261
"C_0015","Control",14.1174653506701,11.7902816962255,8.37638546344912,3.53691204288584,6.38127523828376
"C_0016","Control",13.8771173050733,10.9854861991046,8.50986880614019,4.65734903617854,9.43999726729205
"C_0017","Control",13.7434196649934,10.4369155451936,8.78814081288006,6.00023509505139,7.60112523756947
"C_0018","Control",13.9934364330143,9.4116304661781,10.4884165947503,3.19888651961625,5.99395689582396
"C_0019","Control",13.6110640004443,10.2323225855091,7.06045167949241,5.03668706564878,9.64840288461929
"C_0020","Control",14.3607414838148,11.628958093399,8.49078229947403,3.62740839555282,8.12555966994963
"C_0021","Control",13.486777212067,10.3011657776973,7.99865360796884,5.2443036997689,7.88699939542517
"C_0022","Control",13.8541291242775,10.8894301916682,7.16241650646113,3.03075858311155,7.93582155486615
"C_0023","Control",12.8874525401412,10.1268851210191,6.59822926135984,3.77693566734364,8.14994827000092
"C_0024","Control",13.8506459105012,11.0912264382725,7.02719497624567,3.26739316945282,6.95735862687593
"C_0025","Control",13.940575130746,11.1904716502124,8.96257447113583,4.05308091786995,8.19078027475368
"C_0026","Control",13.4481008146852,10.6201107485062,7.0690329435703,4.21740057192772,7.78808141637709
"C_0029","Control",13.1905809108492,10.4071657733614,5.63295653094412,5.10554273508656,8.69981742171239
"C_0031","Control",14.1508341285817,11.3949085106668,7.1671029766309,3.79538461618161,8.43008576778367
"C_0032","Control",14.2203873974176,12.3119690724537,9.23028564618581,2.94377414352848,7.42777878976565
"C_0035","Control",14.4221403426962,12.2834070191197,8.63888078195733,2.20283550192333,8.01833762479232
"C_0038","Control",14.2308160409884,12.0530200108643,8.54244301865719,3.54746340216039,7.04090667346506
"C_0039","Control",13.3762339401239,11.1553647109811,7.38447812966481,5.59854922296628,7.73817469698178
"C_0050","Control",14.3372162960465,12.4288995120956,9.30497777963362,2.51569731553641,7.53162162975283
"C_0053","Control",13.6435383110059,11.0830245075325,6.93065810541367,5.2947005084254,8.4350497165483
"C_0060","Control",13.1207050896975,10.9173720794768,5.84990295985989,2.62114391021877,8.45681312946623
"C_0061","Control",13.6077198350616,11.5325590182963,6.99642038414986,3.4424643752149,7.53984586673424
"C_0062","Control",14.2901297527317,11.7927528845872,8.09113385667659,4.57211052397818,7.30269192443703
"C_0065","Control",13.7470159861112,11.7065918491988,8.53032634773264,5.84901044446554,7.53642596278788
"C_0069","Control",14.3608463984879,11.6792333247676,6.73599460422528,3.75450593902153,7.68170716757351
"C_0070","Control",13.0552046377006,10.3706438201959,5.8848494183453,3.28462902310211,8.25947258588628
"C_0075","Control",13.3521579427579,11.655697075175,6.74832167985938,2.08821047271626,8.07310631243471
"C_0076","Control",14.7330831318451,12.5452145168794,9.38974576092671,1.45404320126254,7.23475421454713
"C_0081","Control",14.3248689541345,12.3121787323774,9.16649778924597,4.07144090968276,7.70870180114079
"C_0082","Control",14.2106378631325,11.4340146390581,7.49610038407071,3.19542445601074,8.42027479848701
"C_0083","Control",14.2806511687696,11.8354093656521,8.41686042647224,4.31006740802367,7.49140739502185
"C_0087","Control",14.4474022683612,12.3099023350486,9.55750333448057,3.48630505803769,7.40043973144443
"P_0003","PD",13.4363745096129,10.6192506762629,7.0151830874062,2.8754810758008,8.67329953413
"P_0006","PD",13.2450994160889,10.6343119183845,6.76440189217459,3.99984129481656,8.45702498408327
"P_0013","PD",13.7306070550986,11.0425013903696,7.94740959513046,4.609575323166,8.65562803247175
"P_0014","PD",13.3047791037393,10.4928486131045,7.82687829924831,4.01925978786463,7.90090664754476
"P_0015","PD",12.6387610267867,9.8451415666441,7.4750589349629,6.1471986147279,9.31584152753205
"P_0016","PD",13.8730095467003,10.8984283140767,7.60024150124753,3.40842084742645,7.67003301187667
