"Sample_ID","Group","CLTC","SLC2A13","SLC7A14","ACP5","RAMP3"
"GSM225652","Control",5.85935646569484,4.73478165644452,6.70284236900997,0.498496543181678,1.95333833288853
"GSM225662","Control",3.45874282657118,3.45874282657118,5.14981896881265,4.11391545628911,5.60468515214114
"GSM225664","Control",4.37482161823572,4.30115781830897,5.33492261910051,4.21053021148604,4.40227259893071
"GSM225665","Control",7.28656088481499,0,5.26087139985019,1.53307888015009,-2.0569588747563
"GSM225666","Control",7.78716091370995,4.31312325591343,7.19185604954239,3.82604323026007,4.65016590017626
"GSM225667","Control",7.65398880723732,4.58626624692461,6.31908273025761,0,3.82774054818392
"GSM225668","Control",7.59887568444476,4.28312045675431,7.26030991762815,2.1009173905251,4.38689990827983
"GSM225669","Control",7.0945345452082,4.19823727770718,6.75190880589141,2.91497918045556,4.60994443995767
"GSM225670","Control",5.66315188980166,5.65026006056775,5.39789211212738,2.32589167734613,5.70891584942635
"GSM225671","Control",8.01646551250044,4.55612371287802,6.00400391008406,2.58577466823614,1.15743594909975
"GSM225672","Control",6.9050876138607,3.27325634391793,4.0177352254618,0.212189350030049,0
"GSM225673","Control",5.18721346282719,3.50554447297638,6.28651411561395,2.27449677060263,3.02112632484137
"GSM225674","Control",7.38164995144772,3.54372300529874,6.55672857616356,3.10342128862283,5.77659768140864
"GSM225675","Control",6.99314420519493,3.30045728368305,6.58688708219476,3.97390820252101,4.29709401540202
"GSM225676","Control",6.60307778946147,2.53635526837146,4.1454562876524,4.58224961081637,3.33260563405821
"GSM225677","Control",6.30718328257909,4.11853787004128,6.89727463952462,2.95797315008626,4.6548323625351
"GSM225678","Control",7.02226413036748,4.07940464816868,6.59441199219993,-0.656127630982302,5.150769032572
"GSM225679","Control",8.32671864672832,4.0798487290549,6.23112337935699,4.45456527699731,3.79867689170362
"GSM225680","Control",8.29251871323387,3.59520337137109,5.96682074201242,3.94283514114971,0.0659526373666453
"GSM225681","Control",8.65453297993555,2.83461654254272,6.88613488258432,2.78077931937787,3.70584968900772
"GSM225682","Control",6.56147511409945,2.7983567591339,6.45809858157467,4.41103856434888,4.67271671834631
"GSM225683","Control",8.73626283210759,3.58298624686057,6.09846307384272,3.24888628616551,4.55612371287802
"GSM225684","Control",7.34449379696926,-0.034455178817442,6.5082799933303,4.52920916921584,3.18850354965121
"GSM225685","Control",7.08234124125133,3.31455133514997,6.13538579453868,3.23516413685602,5.35039524341685
"GSM225686","Control",9.15231061242927,3.93418506494388,6.77528962075799,4.18834666754553,4.72258767572079
"GSM225687","Control",7.33589461370317,4.3813266113736,7.08283126434545,2.88941055480592,4.91090039940896
"GSM225688","Control",8.11386468071168,3.97991022280319,5.98753834720399,2.63231413817663,4.73410783539296
"GSM225689","Control",8.91905569500848,4.0259811123283,6.82306854035058,2.11670569802232,-0.0793545708519929
"GSM225690","Control",6.44366389947963,4.91843890592514,6.17455835336189,1.73736642540674,4.1978436407447
"GSM225691","Control",9.172864018208,4.38022711017,6.78717034076641,4.17101335982124,5.09591704539519
"GSM225692","Control",7.99734383914965,3.63397124005424,5.64932457940636,2.77067303056871,5.43630877576375
"GSM225693","Control",9.06086154385049,4.03752136926579,6.47109758189002,0.958364374693947,5.16979423939335
"GSM225695","Control",5.78749456438864,2.19344847859278,5.66473005096641,5.27968315408091,1.90246994671363
"GSM225696","Control",5.9829301500716,3.79296173635328,2.71557332743226,0,2.80874312279353
"GSM225697","Control",9.04098216682216,4.5955865235778,6.96594571309312,5.20647393018274,4.58692280291075
"GSM225698","Control",8.34919264464162,4.84232565684705,6.36553196344672,4.53466253129747,4.83185649883008
"GSM225699","Control",8.43233247859788,4.00119145360528,6.07628155143544,4.19925073123905,4.82109724002785
"GSM225700","Control",4.70295579417849,2.87921359640902,6.4919589588349,1.86163021828837,4.80143434612065
"GSM225701","Control",7.92706716385873,5.24326667694259,6.97241431598908,4.83239863234078,3.97249672456234
"GSM225702","Control",7.81145972880555,0,3.70695600706684,3.67254616007812,5.22891897201463
"GSM225703","Control",8.34669574589028,1.47503982100554,6.4232929809871,3.33336120752916,0
"GSM225704","Control",8.67181244931146,3.14318084421782,5.55218270285774,4.00949585910166,4.28584482732216
"GSM225705","Control",8.75536490947023,4.16335290648796,7.05575088639129,1.99215620193216,4.98601132832898
"GSM225706","Control",7.57679468537283,5.18947284887644,6.95882338909402,3.74124515548967,3.72441099377227
"GSM225707","Control",7.6313402614653,4.33943632103298,6.29916962890676,0.539658469634333,4.1341243384373
"GSM225708","Control",6.96507256901079,4.27044705285035,6.81361011959718,3.64485626543358,4.94721582331669
"GSM225709","Control",8.01091718996375,3.87790457323278,6.70410571902961,5.04744498917325,2.41871560619525
"GSM225711","Control",4.19670083624148,4.86031806873081,4.45794099849348,3.5894555479075,4.44957465006201
"GSM225713","Control",5.30760644179898,3.55794725922039,5.99641746319721,5.80499522240584,4.85735386199215
"GSM225714","Control",6.4469723521435,3.80049006103875,7.05462866717105,4.21501391960381,5.13547077821585
"GSM225715","Control",2.77969024813203,3.58792690688121,5.05863451880736,4.83536667054295,4.12850662363907
"GSM225717","Control",5.06160108808847,5.08147759078547,6.70917607431198,4.09427433726743,4.45007970759139
"GSM225718","Control",6.75357853882097,3.77662044819987,6.68231311095992,4.99111545968332,5.05073931464581
"GSM225719","Control",5.75893959390201,4.33288726525038,6.73349744499968,4.77260443357156,5.03938543526889
"GSM225720","Control",6.31489631180604,5.51258642361251,5.19467209899744,2.84187160984014,4.06309617874892
"GSM225721","Control",5.66290063339714,3.34136913931824,6.21946609481952,3.42675541013439,5.43982107159642
