"Sample_ID","Group","Lysosome_Subtype","PC1","PC2","PC3","PC4","PC5","SLC7A14","ACP5","SLC2A13","RAMP3","CLTC"
"P_0003","PD","Cluster_1",-1.14141462973581,0.464850182768184,0.0512144364512084,-1.18078362684616,0.405213830828369,7.0151830874062,2.8754810758008,10.6192506762629,8.67329953413,13.4363745096129
"P_0006","PD","Cluster_1",-0.477263478340045,0.424810853958918,-0.18375001533394,-0.386171579380111,-0.111301421915996,6.76440189217459,3.99984129481656,10.6343119183845,8.45702498408327,13.2450994160889
"P_0013","PD","Cluster_1",-1.25260520408926,-0.723043402313154,1.18929179955593,0.0882131788916836,0.11476339393447,7.94740959513046,4.609575323166,11.0425013903696,8.65562803247175,13.7306070550986
"P_0014","PD","Cluster_1",-1.12689541815688,-0.890230532127037,-0.255220642239497,-0.445234630862852,-0.412556602649841,7.82687829924831,4.01925978786463,10.4928486131045,7.90090664754476,13.3047791037393
"P_0015","PD","Cluster_2",1.94116651417118,-0.842135518657563,0.506657939313336,-0.22913502879196,-0.902050909110862,7.4750589349629,6.1471986147279,9.8451415666441,9.31584152753205,12.6387610267867
"P_0016","PD","Cluster_1",-2.39606299505889,-0.463570092257294,-0.0776368351784817,-0.0805136210203623,0.397283707983782,7.60024150124753,3.40842084742645,10.8984283140767,7.67003301187667,13.8730095467003
"P_0018","PD","Cluster_2",0.475942240777918,0.509398501068241,-0.100354670973591,-0.180236638439467,-0.61162615753339,6.59724868583044,4.79497879749313,10.6113476149374,8.71313730844636,12.9409567929477
"P_0019","PD","Cluster_1",-0.0878000460136723,-0.642493573902812,0.458868009483246,0.069166987143651,-0.187615723732569,7.51386731943091,5.09424958449011,10.4242534358864,8.63552115316951,13.3080431790569
"P_0020","PD","Cluster_1",-0.996322802717679,-1.32203461981471,-0.084778181117669,0.437855232517694,-0.209909855033809,7.90788451049368,5.00096718308945,10.3651325934525,7.76917798615187,13.5004709527172
"P_0021","PD","Cluster_2",2.35961944603174,-2.9017717392292,-1.11502654392181,0.112766508710936,-0.127779255800178,8.08231672494362,6.75597445718952,7.72832258378278,8.26808438229055,12.6748929175588
"P_0022","PD","Cluster_2",1.25331306519827,1.14625586210763,-0.421850778755084,0.1436992194601,0.648670013498241,5.61126534941703,5.0026728201762,9.7552060621453,9.10254003631496,13.1364025749137
"P_0023","PD","Cluster_2",1.33713609869576,0.631705317196332,0.868284379028097,0.374560189075756,0.43900733659887,6.31358308225002,5.7454188679026,10.2254520837792,9.66122335503777,13.2560522307963
"P_0026","PD","Cluster_2",1.53138477488557,1.70210892902353,-0.726925161272444,-0.40458031420261,0.435742665763473,5.25484684018952,4.47555510932326,9.76180617468616,9.23814364522377,12.8851283719361
"P_0027","PD","Cluster_1",-2.37471526303364,-0.473015214026224,0.232910014119055,0.0556709854623085,0.702403998041484,7.60646517722364,3.55719930135098,10.8740146178868,7.87584578379965,14.0132956270022
"P_0028","PD","Cluster_2",1.0541992564447,0.213623190846212,-0.115013605052162,-0.329990498412539,0.23394527922218,6.55541908326169,4.89886955714388,9.74066637191702,9.08291171131281,13.0410250956836
"P_0029","PD","Cluster_1",0.0772735474993474,-0.082664354909666,0.0825435333052262,-0.56249984380913,-0.120444225786565,7.12107965749915,4.35960058393734,10.2800202343502,8.77033319955573,13.1392246946348
"P_0030","PD","Cluster_1",-0.659934805006864,-0.314601673596244,-0.489349384314747,-0.731203192894106,0.22139237639912,7.22296777446016,3.67550207135266,10.0301691412154,8.25196614717681,13.3039120000623
"P_0031","PD","Cluster_2",0.036606151051624,0.379629728311018,-0.268075053604107,0.568642965452183,0.0219176791142446,6.43193696909475,5.09538900486731,10.4422292264742,8.35813248460676,13.3136214102423
"P_0033","PD","Cluster_2",3.37198033260726,-1.74736167530634,-0.610053539253442,0.482773335907789,0.692077475668796,7.0195951759658,7.25889198725897,7.60084657345072,9.19532102004376,12.788803962133
"P_0012","PD","Cluster_1",-2.72678979446225,-0.125416133677078,0.036829677444264,0.897461331351947,0.112293411547302,7.30384466363016,4.0769959760873,11.5490535108005,7.34356150022218,14.0199364194926
"P_0034","PD","Cluster_2",-0.885143294948934,1.73329309232906,-0.286686121694103,-0.103465883139694,-0.197007939007765,5.88079203394704,3.63603756347736,11.3998674875999,8.3806900598704,13.3127567706598
"P_0063","PD","Cluster_1",-2.14061724443055,0.590833246725374,-0.67123752318684,0.104551827049247,-0.434334110283198,6.77817834468015,3.42485451906736,11.4597010741511,7.39398843517642,13.5199838631222
"P_0126","PD","Cluster_2",3.29549622514713,0.729537399147881,1.24479573699918,0.763589456613222,0.103791404203868,5.95907715211808,7.28540036925204,9.84570785009156,10.4409470087685,12.8491691286812
"P_0130","PD","Cluster_1",0.342218412573815,-0.0566682530654912,0.610339494489951,-0.579346645556821,0.0211706144407729,7.18623014583476,4.57775449290011,10.3272753056163,9.20298771251581,13.1824188740456
"P_0132","PD","Cluster_2",1.81396236131165,0.631114440105749,0.116213921586637,-0.0471445315607224,-0.427245833828427,6.25749231643301,5.62420444201595,10.1050795717794,9.35397293994128,12.7545242780041
"P_0133","PD","Cluster_2",-0.102415481607694,1.38495624045844,0.192548903439697,0.439356480347082,-0.327706092109789,6.01101810540105,4.78463013470888,11.2932009025724,8.70365618366082,13.2573166785902
"P_0134","PD","Cluster_1",-3.87243553248609,-0.6326529583756,0.0628235622269905,0.723064656326611,-0.0607451952580212,7.94626122951257,3.48385704258811,11.9065069530317,6.85668696423172,14.1986031153338
"P_0135","PD","Cluster_2",0.760046694164204,1.41636445361652,-1.01393178654419,0.670252496338973,-0.35493447863679,5.41946742914842,5.1758527030486,10.4631953358914,8.28370975906296,12.9610781200204
"P_0136","PD","Cluster_1",0.590070869527991,-0.740821696404655,0.766568434999348,-0.671318815732592,-0.0644153865577295,7.68410548737137,4.8854264756695,10.0387777299157,9.27106751651073,13.1231832874906
